epoch,loss,lr,val_loss
0,0.6565732955932617,0.001,1.0795137882232666
1,0.6544734239578247,0.001,0.8047819137573242
2,0.6542438268661499,0.001,0.6841438412666321
3,0.6540740728378296,0.001,0.6660349369049072
4,0.6539687514305115,0.001,0.6613084673881531
5,0.6539399027824402,0.001,0.662920355796814
6,0.6539648771286011,0.001,0.662417471408844
7,0.6538825631141663,0.001,0.6616281867027283
8,0.6538487076759338,0.001,0.6606097221374512
9,0.653914213180542,0.001,0.6608679294586182
10,0.6538223028182983,0.001,0.6607959866523743
11,0.6538073420524597,0.001,0.6613162159919739
12,0.6537978649139404,0.001,0.6622143387794495
13,0.6537798047065735,0.001,0.6595631837844849
14,0.6537812352180481,0.001,0.6603401899337769
15,0.6538223624229431,0.001,0.6659622192382812
16,0.6537831425666809,0.001,0.6599350571632385
17,0.6537657976150513,0.001,0.6597362160682678
18,0.6537759304046631,0.001,0.6617872714996338
19,0.6537050604820251,0.000100000005,0.6594604849815369
20,0.6536741256713867,0.000100000005,0.6593270897865295
21,0.6536621451377869,0.000100000005,0.659329891204834
